device_id,file_id,wafer_id,lot_id,part_type,x_coord,y_coord,site_num,head_num,pass_fail,hard_bin,soft_bin,num_tests_run,test_time_ms,part_id,attempt_index,ingestion_ts,ingestion_date
7f9e492c365239a3_1,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,19,-3,0,1,FAIL,5,5,1,0,1,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_2,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,20,-3,0,1,PASS,1,1,74,0,2,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_3,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,21,-3,0,1,PASS,1,1,72,0,3,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_4,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,22,-3,0,1,PASS,1,1,72,0,4,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_5,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,23,-3,0,1,PASS,1,1,72,0,5,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_6,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,24,-3,0,1,PASS,1,1,72,0,6,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_7,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,25,-3,0,1,PASS,1,1,72,0,7,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_8,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,26,-3,0,1,PASS,1,1,74,0,8,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_9,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,27,-3,0,1,FAIL,8,8,29,0,9,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_10,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,28,-3,0,1,PASS,1,1,74,0,10,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_11,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,29,-3,0,1,PASS,1,1,54,0,11,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_12,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,30,-3,0,1,FAIL,2,2,51,0,12,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_13,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,33,-4,0,1,FAIL,2,2,56,0,13,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_14,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,32,-4,0,1,FAIL,20,20,64,0,14,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_15,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,31,-4,0,1,PASS,1,1,74,0,15,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_16,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,30,-4,0,1,PASS,1,1,72,0,16,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_17,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,29,-4,0,1,PASS,1,1,54,0,17,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_18,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,28,-4,0,1,PASS,1,1,72,0,18,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_19,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,27,-4,0,1,FAIL,8,8,29,0,19,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_20,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,26,-4,0,1,PASS,1,1,74,0,20,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_21,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,25,-4,0,1,FAIL,8,8,29,0,21,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_22,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,24,-4,0,1,PASS,1,1,74,0,22,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_23,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,23,-4,0,1,PASS,1,1,72,0,23,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_24,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,22,-4,0,1,PASS,1,1,72,0,24,0,2026-03-24T15:03:32Z,2026-03-24
