device_id,file_id,wafer_id,lot_id,part_type,x_coord,y_coord,site_num,head_num,pass_fail,hard_bin,soft_bin,num_tests_run,test_time_ms,part_id,attempt_index,ingestion_ts,ingestion_date
e2a77df87fbf97c1_1,e2a77df87fbf97c1,GAL-LOT-02,GAL-LOT,GOLD8BAR,19,-3,0,1,FAIL,5,5,1,0,1,0,2026-03-24T15:05:57Z,2026-03-24
e2a77df87fbf97c1_2,e2a77df87fbf97c1,GAL-LOT-02,GAL-LOT,GOLD8BAR,20,-3,0,1,PASS,1,1,74,0,2,0,2026-03-24T15:05:57Z,2026-03-24
e2a77df87fbf97c1_3,e2a77df87fbf97c1,GAL-LOT-02,GAL-LOT,GOLD8BAR,21,-3,0,1,PASS,1,1,72,0,3,0,2026-03-24T15:05:57Z,2026-03-24
e2a77df87fbf97c1_4,e2a77df87fbf97c1,GAL-LOT-02,GAL-LOT,GOLD8BAR,22,-3,0,1,PASS,1,1,72,0,4,0,2026-03-24T15:05:57Z,2026-03-24
e2a77df87fbf97c1_5,e2a77df87fbf97c1,GAL-LOT-02,GAL-LOT,GOLD8BAR,23,-3,0,1,PASS,1,1,72,0,5,0,2026-03-24T15:05:57Z,2026-03-24
e2a77df87fbf97c1_6,e2a77df87fbf97c1,GAL-LOT-02,GAL-LOT,GOLD8BAR,24,-3,0,1,PASS,1,1,72,0,6,0,2026-03-24T15:05:57Z,2026-03-24
e2a77df87fbf97c1_7,e2a77df87fbf97c1,GAL-LOT-02,GAL-LOT,GOLD8BAR,25,-3,0,1,FAIL,8,8,32,0,7,0,2026-03-24T15:05:57Z,2026-03-24
e2a77df87fbf97c1_8,e2a77df87fbf97c1,GAL-LOT-02,GAL-LOT,GOLD8BAR,26,-3,0,1,PASS,1,1,74,0,8,0,2026-03-24T15:05:57Z,2026-03-24
e2a77df87fbf97c1_9,e2a77df87fbf97c1,GAL-LOT-02,GAL-LOT,GOLD8BAR,27,-3,0,1,FAIL,2,2,37,0,9,0,2026-03-24T15:05:57Z,2026-03-24
e2a77df87fbf97c1_10,e2a77df87fbf97c1,GAL-LOT-02,GAL-LOT,GOLD8BAR,28,-3,0,1,PASS,1,1,74,0,10,0,2026-03-24T15:05:57Z,2026-03-24
