file_id,lot_id,bin_type,bin_num,bin_name,bin_count,pass_fail,head_num,site_num
7f9e492c365239a3,W118892,SOFT,1,,1378,,255,0
7f9e492c365239a3,W118892,HARD,1,,1378,,255,0
7f9e492c365239a3,W118892,SOFT,2,,58,,255,0
7f9e492c365239a3,W118892,HARD,2,,58,,255,0
7f9e492c365239a3,W118892,SOFT,4,,8,,255,0
7f9e492c365239a3,W118892,HARD,4,,8,,255,0
7f9e492c365239a3,W118892,SOFT,5,,16,,255,0
7f9e492c365239a3,W118892,HARD,5,,16,,255,0
7f9e492c365239a3,W118892,SOFT,7,,2,,255,0
7f9e492c365239a3,W118892,HARD,7,,2,,255,0
7f9e492c365239a3,W118892,SOFT,8,,71,,255,0
7f9e492c365239a3,W118892,HARD,8,,71,,255,0
7f9e492c365239a3,W118892,SOFT,9,,1,,255,0
7f9e492c365239a3,W118892,HARD,9,,1,,255,0
7f9e492c365239a3,W118892,SOFT,10,,20,,255,0
7f9e492c365239a3,W118892,HARD,10,,20,,255,0
7f9e492c365239a3,W118892,SOFT,16,,2,,255,0
7f9e492c365239a3,W118892,HARD,16,,2,,255,0
7f9e492c365239a3,W118892,SOFT,17,,8,,255,0
7f9e492c365239a3,W118892,HARD,17,,8,,255,0
7f9e492c365239a3,W118892,SOFT,20,,55,,255,0
7f9e492c365239a3,W118892,HARD,20,,55,,255,0
