result_id,device_id,wafer_id,file_id,lot_id,part_type,test_num,test_name_raw,canonical_name,result_raw,result_scaled,result_si,si_unit,orig_unit,lo_limit_scaled,hi_limit_scaled,passed,failed_low,failed_high,alarm,not_executed,attempt_index,head_num,site_num,parser_version,ingestion_ts,ingestion_date
7f9e492c365239a3_2_1000,7f9e492c365239a3_2,R114792-03,7f9e492c365239a3,W118892,AB24ROOM,1000,glxy_SS_IH     <> glxy_pin2,glxy_ss_ih,-0.661093771,-0.661093771,-0.661093771,V,v,-0.899999976,-0.400000006,True,False,False,False,False,0,1,0,1.0.0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_2_1010,7f9e492c365239a3_2,R114792-03,7f9e492c365239a3,W118892,AB24ROOM,1010,glxy_OSC       <> glxy_pin3,glxy_osc,-0.65015626,-0.65015626,-0.65015626,V,v,-0.899999976,-0.400000006,True,False,False,False,False,0,1,0,1.0.0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_2_1020,7f9e492c365239a3_2,R114792-03,7f9e492c365239a3,W118892,AB24ROOM,1020,glxy_OUTS      <> glxy_pin4S,glxy_outs,-0.688281238,-0.688281238,-0.688281238,V,v,-0.899999976,-0.400000006,True,False,False,False,False,0,1,0,1.0.0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_2_1030,7f9e492c365239a3_2,R114792-03,7f9e492c365239a3,W118892,AB24ROOM,1030,glxy_OUTF      <> glxy_pin4F,glxy_outf,-0.692031264,-0.692031264,-0.692031264,V,v,-0.899999976,-0.400000006,True,False,False,False,False,0,1,0,1.0.0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_2_1040,7f9e492c365239a3_2,R114792-03,7f9e492c365239a3,W118892,AB24ROOM,1040,glxy_VCCS      <> glxy_pin5S,glxy_vccs,-0.549218774,-0.549218774,-0.549218774,V,v,-0.899999976,-0.400000006,True,False,False,False,False,0,1,0,1.0.0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_2_1050,7f9e492c365239a3_2,R114792-03,7f9e492c365239a3,W118892,AB24ROOM,1050,glxy_VCCF      <> glxy_pin5F,glxy_vccf,-0.572343767,-0.572343767,-0.572343767,V,v,-0.899999976,-0.400000006,True,False,False,False,False,0,1,0,1.0.0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_2_1060,7f9e492c365239a3_2,R114792-03,7f9e492c365239a3,W118892,AB24ROOM,1060,glxy_BOOT      <> glxy_pin6,glxy_boot,-0.684843779,-0.684843779,-0.684843779,V,v,-0.899999976,-0.400000006,True,False,False,False,False,0,1,0,1.0.0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_2_1070,7f9e492c365239a3_2,R114792-03,7f9e492c365239a3,W118892,AB24ROOM,1070,glxy_COMP      <> glxy_pin7,glxy_comp,-0.656406224,-0.656406224,-0.656406224,V,v,-0.899999976,-0.400000006,True,False,False,False,False,0,1,0,1.0.0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_2_1080,7f9e492c365239a3_2,R114792-03,7f9e492c365239a3,W118892,AB24ROOM,1080,glxy_FB        <> glxy_pin8,glxy_fb,-0.692656279,-0.692656279,-0.692656279,V,v,-0.899999976,-0.400000006,True,False,False,False,False,0,1,0,1.0.0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_2_1090,7f9e492c365239a3_2,R114792-03,7f9e492c365239a3,W118892,AB24ROOM,1090,glxy_PT        <> glxy_PT,glxy_pt,-0.799453139,-0.799453139,-0.799453139,V,v,-0.899999976,-0.400000006,True,False,False,False,False,0,1,0,1.0.0,2026-03-24T15:03:32Z,2026-03-24
