file_id,lot_id,bin_type,bin_num,bin_name,bin_count,pass_fail,head_num,site_num
e2a77df87fbf97c1,GAL-LOT,SOFT,1,,1389,,255,0
e2a77df87fbf97c1,GAL-LOT,HARD,1,,1389,,255,0
e2a77df87fbf97c1,GAL-LOT,SOFT,2,,41,,255,0
e2a77df87fbf97c1,GAL-LOT,HARD,2,,41,,255,0
e2a77df87fbf97c1,GAL-LOT,SOFT,4,,6,,255,0
e2a77df87fbf97c1,GAL-LOT,HARD,4,,6,,255,0
e2a77df87fbf97c1,GAL-LOT,SOFT,5,,20,,255,0
e2a77df87fbf97c1,GAL-LOT,HARD,5,,20,,255,0
e2a77df87fbf97c1,GAL-LOT,SOFT,7,,6,,255,0
e2a77df87fbf97c1,GAL-LOT,HARD,7,,6,,255,0
e2a77df87fbf97c1,GAL-LOT,SOFT,8,,79,,255,0
e2a77df87fbf97c1,GAL-LOT,HARD,8,,79,,255,0
e2a77df87fbf97c1,GAL-LOT,SOFT,10,,10,,255,0
e2a77df87fbf97c1,GAL-LOT,HARD,10,,10,,255,0
e2a77df87fbf97c1,GAL-LOT,SOFT,15,,1,,255,0
e2a77df87fbf97c1,GAL-LOT,HARD,15,,1,,255,0
e2a77df87fbf97c1,GAL-LOT,SOFT,17,,1,,255,0
e2a77df87fbf97c1,GAL-LOT,HARD,17,,1,,255,0
e2a77df87fbf97c1,GAL-LOT,SOFT,20,,16,,255,0
e2a77df87fbf97c1,GAL-LOT,HARD,20,,16,,255,0
