result_id,device_id,wafer_id,file_id,lot_id,part_type,test_num,test_name_raw,canonical_name,result_raw,result_scaled,result_si,si_unit,orig_unit,lo_limit_scaled,hi_limit_scaled,passed,failed_low,failed_high,alarm,not_executed,attempt_index,head_num,site_num,parser_version,ingestion_ts,ingestion_date
e2a77df87fbf97c1_2_1000,e2a77df87fbf97c1_2,GAL-LOT-02,e2a77df87fbf97c1,GAL-LOT,GOLD8BAR,1000,glxy_SS_IH     <> glxy_pin2,glxy_ss_ih,-0.661640644,-0.661640644,-0.661640644,V,v,-0.899999976,-0.400000006,True,False,False,False,False,0,1,0,1.0.0,2026-03-24T15:05:57Z,2026-03-24
e2a77df87fbf97c1_2_1010,e2a77df87fbf97c1_2,GAL-LOT-02,e2a77df87fbf97c1,GAL-LOT,GOLD8BAR,1010,glxy_OSC       <> glxy_pin3,glxy_osc,-0.65015626,-0.65015626,-0.65015626,V,v,-0.899999976,-0.400000006,True,False,False,False,False,0,1,0,1.0.0,2026-03-24T15:05:57Z,2026-03-24
e2a77df87fbf97c1_2_1020,e2a77df87fbf97c1_2,GAL-LOT-02,e2a77df87fbf97c1,GAL-LOT,GOLD8BAR,1020,glxy_OUTS      <> glxy_pin4S,glxy_outs,-0.686953127,-0.686953127,-0.686953127,V,v,-0.899999976,-0.400000006,True,False,False,False,False,0,1,0,1.0.0,2026-03-24T15:05:57Z,2026-03-24
e2a77df87fbf97c1_2_1030,e2a77df87fbf97c1_2,GAL-LOT-02,e2a77df87fbf97c1,GAL-LOT,GOLD8BAR,1030,glxy_OUTF      <> glxy_pin4F,glxy_outf,-0.686953127,-0.686953127,-0.686953127,V,v,-0.899999976,-0.400000006,True,False,False,False,False,0,1,0,1.0.0,2026-03-24T15:05:57Z,2026-03-24
e2a77df87fbf97c1_2_1040,e2a77df87fbf97c1_2,GAL-LOT-02,e2a77df87fbf97c1,GAL-LOT,GOLD8BAR,1040,glxy_VCCS      <> glxy_pin5S,glxy_vccs,-0.549218774,-0.549218774,-0.549218774,V,v,-0.899999976,-0.400000006,True,False,False,False,False,0,1,0,1.0.0,2026-03-24T15:05:57Z,2026-03-24
e2a77df87fbf97c1_2_1050,e2a77df87fbf97c1_2,GAL-LOT-02,e2a77df87fbf97c1,GAL-LOT,GOLD8BAR,1050,glxy_VCCF      <> glxy_pin5F,glxy_vccf,-0.572421849,-0.572421849,-0.572421849,V,v,-0.899999976,-0.400000006,True,False,False,False,False,0,1,0,1.0.0,2026-03-24T15:05:57Z,2026-03-24
e2a77df87fbf97c1_2_1060,e2a77df87fbf97c1_2,GAL-LOT-02,e2a77df87fbf97c1,GAL-LOT,GOLD8BAR,1060,glxy_BOOT      <> glxy_pin6,glxy_boot,-0.684765637,-0.684765637,-0.684765637,V,v,-0.899999976,-0.400000006,True,False,False,False,False,0,1,0,1.0.0,2026-03-24T15:05:57Z,2026-03-24
e2a77df87fbf97c1_2_1070,e2a77df87fbf97c1_2,GAL-LOT-02,e2a77df87fbf97c1,GAL-LOT,GOLD8BAR,1070,glxy_COMP      <> glxy_pin7,glxy_comp,-0.657031238,-0.657031238,-0.657031238,V,v,-0.899999976,-0.400000006,True,False,False,False,False,0,1,0,1.0.0,2026-03-24T15:05:57Z,2026-03-24
e2a77df87fbf97c1_2_1080,e2a77df87fbf97c1_2,GAL-LOT-02,e2a77df87fbf97c1,GAL-LOT,GOLD8BAR,1080,glxy_FB        <> glxy_pin8,glxy_fb,-0.691953123,-0.691953123,-0.691953123,V,v,-0.899999976,-0.400000006,True,False,False,False,False,0,1,0,1.0.0,2026-03-24T15:05:57Z,2026-03-24
e2a77df87fbf97c1_2_1090,e2a77df87fbf97c1_2,GAL-LOT-02,e2a77df87fbf97c1,GAL-LOT,GOLD8BAR,1090,glxy_PT        <> glxy_PT,glxy_pt,-0.798828125,-0.798828125,-0.798828125,V,v,-0.899999976,-0.400000006,True,False,False,False,False,0,1,0,1.0.0,2026-03-24T15:05:57Z,2026-03-24
